id_tempat_wisata,kabupaten,nama_tempat_wisata,rating,kategori,jumlah_ulasan,latitude,longitude,google_maps_link,,,,,,,,,,,,
575c0,Bantul,Desa Wisata Gerabah Jetis Panjangrejo,5,Wisata Buatan,40,-7.9693508,110.3319627,https://www.google.com/maps/search/Desa%20Wisata%20Gerabah%20Jetis%20Panjangrejo,,,,,,,,,,,,
be3d0,Bantul,Desa Wisata Kajii (Dewi Kajii - Edukasi Ikan Hias),4.9,Wisata Buatan,63,-7.8976233,110.3090821,https://www.google.com/maps/search/Desa%20Wisata%20Kajii%20%28Dewi%20Kajii%20-%20Edukasi%20Ikan%20Hias%29,,,,,,,,,,,,
73c80,Bantul,Desa Wisata Kaki Langit,4.6,Wisata Alam,140,-7.9318979,110.4219453,https://www.google.com/maps/search/Desa%20Wisata%20Kaki%20Langit,,,,,,,,,,,,
c1510,Bantul,Desa Wisata Karangtengah,4.4,Wisata Alam,287,-7.9376732,110.3819417,https://www.google.com/maps/search/Desa%20Wisata%20Karangtengah,,,,,,,,,,,,
a39c0,Sleman,Desa Wisata Kembang Wonderful,5,Wisata Alam,74,-7.6349344,110.3837672,https://www.google.com/maps/search/Desa%20Wisata%20Kembang%20Wonderful,,,,,,,,,,,,
f8c70,Sleman,Desa Wisata Malangan,4.4,Wisata Budaya dan Sejarah,95,-7.7586856,110.2533026,https://www.google.com/maps/search/Desa%20Wisata%20Malangan,,,,,,,,,,,,
a4000,Gunungkidul,Desa Wisata Nawung,4.3,Wisata Budaya dan Sejarah,93,-7.8202819,110.5425329,https://www.google.com/maps/search/Desa%20Wisata%20Nawung,,,,,,,,,,,,
c9000,Kota Yogyakarta,Desa Wisata New Nglepen,4,Wisata Buatan,304,-7.8138068,110.5034317,https://www.google.com/maps/search/Desa%20Wisata%20New%20Nglepen,,,,,,,,,,,,
a84c0,Kulon Progo,Desa Wisata Nglinggo,4.4,Wisata Budaya dan Sejarah,656,-7.647668,110.141878,https://www.google.com/maps/search/Desa%20Wisata%20Nglinggo,,,,,,,,,,,,
44040,Sleman,Desa Wisata Pendidikan dan Ketahanan Pangan Dukuh,4.4,Wisata Buatan,152,-7.7004375,110.3605547,https://www.google.com/maps/search/Desa%20Wisata%20Pendidikan%20dan%20Ketahanan%20Pangan%20Dukuh,,,,,,,,,,,,
2c640,Gunungkidul,Desa Wisata Pengkok,4.3,Wisata Budaya dan Sejarah,138,-7.8729739,110.4957781,https://www.google.com/maps/search/Desa%20Wisata%20Pengkok,,,,,,,,,,,,
1ab70,Sleman,Desa Wisata Pentingsari,4.4,Wisata Budaya dan Sejarah,1340,-7.6430482,110.4296004,https://www.google.com/maps/search/Desa%20Wisata%20Pentingsari,,,,,,,,,,,,
